"id","article","name","category_id","shelf_no","wholesale_price","retail_price","cost_before","cost_after"
"6","BGA-1012","Boxing gloves amok","1","","35","49.99","12","16"
"7","BGC-1011","Boxing gloves ClassX","1","","41","69.99","14","18"
"8","BGE-1013","Boxing Gloves Endoor","1","","49","89.99","18","23"
"9","BGH-1015","Boxing Gloves Horse","1","","70","150","20","27"
"10","BGK-1016","Boxing Gloves Knock","1","","40","69.99","16","20"
"11","BGI-1017","Boxing Gloves Impact","1","","45","79.99","16","20"
"12","BGB-1019","Boxing Gloves BP","1","","59.99","130","16","20"
"13","HGB-2011","Head Guard Brag","2","","69","110","18","24"
"14","BGV-1019","Boxing Gloves Vexa","1","","16","29.99","7","10"
"16","HGH-2015","Head Guard Heed","2","","22.99","39.99","8","12"
"17","GGP-2031","Groin Guard Pro","3","","29.99","59.99","12","17"
"18","GGP-2032","Groin Guard Pro","3","","29.99","59.99","14","20"
"19","CSM-2041","Cup Supporter Metal","3","","10","18.99","4","6"
"20","CSP-2042","Cup Supporter Poly","3","","4.99","9.99","0","0"
"21","SPP-2051","Shin instep PRO","4","","35.99","49.99","12","18"
"22","SPT-2052","Shin Instep Training","4","","29.99","44.99","7","14"
"23","AMR-8011","Focus Mitt React","5","","49.99","139.99","18","24.99"
"24","FMS-8012","Focus Mitt Smart","5","","35","65.99","13","18"
"25","FME-8013","Focus Mitt Elastic","5","","35","79.99","14","19.99"
"26","FMA-8014","Focs Mitt Arch","5","","19.99","29.99","7","12"
"28","BP-9011","Body Protector Coaching Guard","5","","130","249.99","35","70"
"30","TP-9018","Thigh Pads","5","","59.99","110","19","42.99"
"31","CP-9021","Coaching Paddle","5","","24","49.99","10","12"
"32","CP-9022","Coaching Paddle","5","","24","49.99","10","12"
"33","CS-9031","Coaching Stick","5","","24","49.99","10","12"
"34","CS-9032","Coaching Stick","5","","24","49.99","10","12"
"36","SPR-9042","Strike Pad Round","5","","39","59.99","12","32"
"37","WP-9051","Wall Pad","6","","150","249","59","110"
"38","WP-9052","Wall Pad","6","","130","199.99","45","90"
"39","WP-9053","Wall Pad","6","","120","199.99","30","70"
"40","SB-9061","Speed Ball","7","","19.99","39.99","7","9"
"41","FSB-9062","Floor to Ceiling Ball pear","7","","19.99","44.99","8","10"
"42","FSRB-9063","Floor to Celling Ball Round","7","","0","0","9","11"
"43","FSDB-9064","Floor to Celling Double Ball","7","","35","79.99","12","15"
"44","SBP-9071","Speed Ball Platform Heavy","7","","280","499.99","80","150"
"45","SBP-9072","Speed Ball Platform Medium","7","","260","449.99","78","140"
"46","Spb-9073","Speed Ball Platform Light","7","","49","99.99","17","37"
"47","BSV-2101","Boxing Short & Vest","8","","15","25.99","7","9"
"48","MMA-2111","MMA Kit","8","","22","39.99","13","15"
"49","MTS-2121","Muay Thai Shorts Mesh","8","","14","24.99","5","7"
"50","MTS-2122","Muay Thai Shorts","8","","11","19.99","4","6"
"51","SB-2221","Sports Bag","9","","35.99","59.99","11","21"
"52","SB-2222","Sports Bags","9","","24","39.99","11","19"
"54","HCP-460","Hoodie Track Suit   460gsm","8","","25.2","39.99","16","21"
"55","HCP-360","Hoodie Track Suit  360gsm","8","","23","37.99","13","18"
"56","HCP-300","Hoodie Track Suit   300gsm","8","","22","35.99","12","17"
"57","TSI-280","T shirt Interlock P/C 80/20","8","","0","0","2.5","3"
"58","TSI-160","T shirt Interlock  polyester","8","","2.5","5","1.2","1.5"
"59","TSJ-160","T Shirt Jersey  C/P  65/35","8","","3","6","1.4","1.8"
"60","TSJ-180","T Shirt Jersey  Cotton","8","","3.5","7","1.9","2.4"
"61","TSJ-200","T Shirt Lecra Jersey","8","","3.5","7","1.9","2.9"
"62","KS-221","Kick Shield S Leather","10","","35","49.99","10","25"
"63","KS-231","Kick Shield S Leather pair","10","","0","0","9","0"
"64","KS-232","Kick Shield  G Leather","10","","0","0","16","0"
"65","KBC-211","Kick Boxing Chestguard","11","","0","0","9","0"
"66","MG-501","MMA Gloves","12","","19","34.99","7","12"
"67","MSG-511","MMA Shooter Gloves","12","","19.99","39.99","5","9"
"68","MSG-512","MMA Shooter Gloves","12","","19.99","39.99","5","9"
"69","BGS-1014","Boxing Gloves SuperX","1","","0","0","7","11"
"70","BGS-10114","Boxing Gloves SuperX  OD design","1","","16","29.99","7","10"
"71","BGG-201111","Boxing Gloves gold rex","1","","18","29.99","7","11"
"72","HGL-2023","Head Guard Lead","2","","35","59","15","18"
"73","SPR-9041","Strike Pad Round","5","","45","69.99","13","45"
