"id","product_id","article","name","color","size","quantity"
"6","6","BGA-1012","Boxing gloves amok","Black","10oz","9"
"7","6","BGA-1012","Boxing gloves amok","Black","12oz","10"
"8","6","BGA-1012","Boxing gloves amok","Black","14oz","13"
"9","6","BGA-1012","Boxing gloves amok","Black","16oz","8"
"10","7","BGC-1011","Boxing gloves ClassX","Black","10oz","4"
"11","7","BGC-1011","Boxing gloves ClassX","Black","12oz","4"
"12","7","BGC-1011","Boxing gloves ClassX","Black","14oz","37"
"13","7","BGC-1011","Boxing gloves ClassX","Black","16oz","18"
"14","8","BGE-1013","Boxing Gloves Endoor","WHITE","10oz","0"
"15","8","BGE-1013","Boxing Gloves Endoor","WHITE","12oz","0"
"16","8","BGE-1013","Boxing Gloves Endoor","WHITE","14oz","0"
"17","8","BGE-1013","Boxing Gloves Endoor","WHITE","16oz","0"
"18","8","BGE-1013","Boxing Gloves Endoor","WHITE","18oz","0"
"19","8","BGE-1013","Boxing Gloves Endoor","WHITE","20oz","0"
"20","9","BGH-1015","Boxing Gloves Horse","RED","10oz","0"
"21","10","BGK-1016","Boxing Gloves Knock","Black & Red","10oz","0"
"22","10","BGK-1016","Boxing Gloves Knock","Black & Red","12oz","0"
"23","10","BGK-1016","Boxing Gloves Knock","Black & Red","14oz","0"
"24","10","BGK-1016","Boxing Gloves Knock","Black & Red","16oz","0"
"25","11","BGI-1017","Boxing Gloves Impact","MAROON","10oz","0"
"26","11","BGI-1017","Boxing Gloves Impact","MAROON","12oz","0"
"27","11","BGI-1017","Boxing Gloves Impact","MAROON","14oz","0"
"28","11","BGI-1017","Boxing Gloves Impact","MAROON","16oz","0"
"29","11","BGI-1017","Boxing Gloves Impact","PURPLE","10oz","0"
"30","11","BGI-1017","Boxing Gloves Impact","PURPLE","12oz","0"
"31","11","BGI-1017","Boxing Gloves Impact","PURPLE","14oz","0"
"32","11","BGI-1017","Boxing Gloves Impact","PURPLE","16oz","0"
"33","12","BGB-1019","Boxing Gloves BP","GREEN","10oz","0"
"34","12","BGB-1019","Boxing Gloves BP","GREEN","12oz","0"
"35","12","BGB-1019","Boxing Gloves BP","GREEN","14oz","0"
"36","12","BGB-1019","Boxing Gloves BP","GREEN","16oz","0"
"37","13","HGB-2011","Head Guard Brag","WHITE & GOLD","S/M","0"
"38","13","HGB-2011","Head Guard Brag","WHITE & GOLD","L/XL","0"
"39","13","HGB-2011","Head Guard Brag","BLACK & GOLD","S/M","0"
"40","13","HGB-2011","Head Guard Brag","BLACK & GOLD","L/XL","0"
"41","14","BGV-1019","Boxing Gloves Vexa","PINK","4oz","0"
"42","14","BGV-1019","Boxing Gloves Vexa","PINK","6oz","0"
"43","14","BGV-1019","Boxing Gloves Vexa","PINK","8oz","0"
"44","14","BGV-1019","Boxing Gloves Vexa","PINK","10oz","0"
"45","14","BGV-1019","Boxing Gloves Vexa","PINK","12oz","0"
"46","14","BGV-1019","Boxing Gloves Vexa","PINK","14oz","0"
"47","14","BGV-1019","Boxing Gloves Vexa","PINK","16oz","0"
"56","16","HGH-2015","Head Guard Heed","WHITE & GOLD","S","19"
"57","16","HGH-2015","Head Guard Heed","WHITE & GOLD","M","38"
"58","16","HGH-2015","Head Guard Heed","WHITE & GOLD","L","19"
"59","17","GGP-2031","Groin Guard Pro","Black","S","0"
"60","17","GGP-2031","Groin Guard Pro","Black","M","0"
"61","17","GGP-2031","Groin Guard Pro","Black","L","0"
"62","17","GGP-2031","Groin Guard Pro","Black","XL","0"
"63","18","GGP-2032","Groin Guard Pro","BLACK & GOLD","S","0"
"64","18","GGP-2032","Groin Guard Pro","BLACK & GOLD","M","0"
"65","18","GGP-2032","Groin Guard Pro","BLACK & GOLD","L","0"
"66","18","GGP-2032","Groin Guard Pro","BLACK & GOLD","XL","0"
"67","19","CSM-2041","Cup Supporter Metal","Black","S","0"
"68","19","CSM-2041","Cup Supporter Metal","Black","M","0"
"69","19","CSM-2041","Cup Supporter Metal","Black","L","0"
"70","19","CSM-2041","Cup Supporter Metal","Black & Red","S","0"
"71","19","CSM-2041","Cup Supporter Metal","Black & Red","M","0"
"72","19","CSM-2041","Cup Supporter Metal","Black & Red","L","0"
"73","20","CSP-2042","Cup Supporter Poly","WHITE","S","0"
"74","20","CSP-2042","Cup Supporter Poly","WHITE","M","0"
"75","20","CSP-2042","Cup Supporter Poly","WHITE","L","0"
"76","21","SPP-2051","Shin instep PRO","RED","XXS","0"
"77","21","SPP-2051","Shin instep PRO","RED","XS","0"
"78","21","SPP-2051","Shin instep PRO","RED","S","0"
"79","21","SPP-2051","Shin instep PRO","RED","M","0"
"80","21","SPP-2051","Shin instep PRO","RED","L","0"
"81","21","SPP-2051","Shin instep PRO","RED","XL","0"
"82","21","SPP-2051","Shin instep PRO","RED","XXL","0"
"83","21","SPP-2051","Shin instep PRO","Blue","XXS","0"
"84","21","SPP-2051","Shin instep PRO","Blue","XS","0"
"85","21","SPP-2051","Shin instep PRO","Blue","S","0"
"86","21","SPP-2051","Shin instep PRO","Blue","M","0"
"87","21","SPP-2051","Shin instep PRO","Blue","L","0"
"88","21","SPP-2051","Shin instep PRO","Blue","XL","0"
"89","21","SPP-2051","Shin instep PRO","Blue","XXL","0"
"90","21","SPP-2051","Shin instep PRO","Black","XXS","0"
"91","21","SPP-2051","Shin instep PRO","Black","XS","0"
"92","21","SPP-2051","Shin instep PRO","Black","S","0"
"93","21","SPP-2051","Shin instep PRO","Black","M","0"
"94","21","SPP-2051","Shin instep PRO","Black","L","0"
"95","21","SPP-2051","Shin instep PRO","Black","XL","0"
"96","21","SPP-2051","Shin instep PRO","Black","XXL","0"
"97","22","SPT-2052","Shin Instep Training","WHITE","XS","0"
"98","22","SPT-2052","Shin Instep Training","WHITE","S","0"
"99","22","SPT-2052","Shin Instep Training","WHITE","M","0"
"100","22","SPT-2052","Shin Instep Training","WHITE","L","0"
"101","22","SPT-2052","Shin Instep Training","WHITE","XL","0"
"102","22","SPT-2052","Shin Instep Training","WHITE","XXL","0"
"103","22","SPT-2052","Shin Instep Training","Black","XS","0"
"104","22","SPT-2052","Shin Instep Training","Black","S","0"
"105","22","SPT-2052","Shin Instep Training","Black","M","0"
"106","22","SPT-2052","Shin Instep Training","Black","L","0"
"107","22","SPT-2052","Shin Instep Training","Black","XL","0"
"108","22","SPT-2052","Shin Instep Training","Black","XXL","0"
"109","23","AMR-8011","Focus Mitt React","Black & Red","standard","0"
"110","24","FMS-8012","Focus Mitt Smart","RED","standard","12"
"111","24","FMS-8012","Focus Mitt Smart","Blue","standard","11"
"112","24","FMS-8012","Focus Mitt Smart","Black","standard","0"
"113","25","FME-8013","Focus Mitt Elastic","RED","standard","0"
"114","25","FME-8013","Focus Mitt Elastic","Blue","standard","0"
"115","25","FME-8013","Focus Mitt Elastic","Black","standard","8"
"116","26","FMA-8014","Focs Mitt Arch","WHITE","standard","0"
"118","28","BP-9011","Body Protector Coaching Guard","RED","standard","0"
"119","28","BP-9011","Body Protector Coaching Guard","Blue","standard","0"
"120","28","BP-9011","Body Protector Coaching Guard","Black","standard","0"
"122","30","TP-9018","Thigh Pads","Black","standard","0"
"123","31","CP-9021","Coaching Paddle","RED","standard","0"
"124","31","CP-9021","Coaching Paddle","Blue","standard","0"
"125","31","CP-9021","Coaching Paddle","Black","standard","0"
"126","32","CP-9022","Coaching Paddle","RED","standard","0"
"127","32","CP-9022","Coaching Paddle","Blue","standard","0"
"128","32","CP-9022","Coaching Paddle","Black","standard","0"
"129","33","CS-9031","Coaching Stick","RED","standard","0"
"130","33","CS-9031","Coaching Stick","Blue","standard","0"
"131","33","CS-9031","Coaching Stick","Black","standard","0"
"132","34","CS-9032","Coaching Stick","RED","standard","0"
"133","34","CS-9032","Coaching Stick","Blue","standard","0"
"134","34","CS-9032","Coaching Stick","Black","standard","0"
"136","36","SPR-9042","Strike Pad Round","BLACK & GOLD","standard","0"
"137","37","WP-9051","Wall Pad","Black & Red","standard","0"
"138","38","WP-9052","Wall Pad","Black & Red","standard","0"
"139","39","WP-9053","Wall Pad","Black & Red","standard","0"
"140","40","SB-9061","Speed Ball","Black & White","M","0"
"141","41","FSB-9062","Floor to Ceiling Ball pear","Black & White","M","0"
"142","42","FSRB-9063","Floor to Celling Ball Round","Black & White","M","0"
"143","43","FSDB-9064","Floor to Celling Double Ball","Black & White","standard","0"
"144","44","SBP-9071","Speed Ball Platform Heavy","Natural","standard","0"
"145","44","SBP-9071","Speed Ball Platform Heavy","Natural","60x60","0"
"146","45","SBP-9072","Speed Ball Platform Medium","Natural","60x60","0"
"147","46","Spb-9073","Speed Ball Platform Light","Natural","60x60","0"
"148","47","BSV-2101","Boxing Short & Vest","Black","XXS","0"
"149","47","BSV-2101","Boxing Short & Vest","Black","XS","0"
"150","47","BSV-2101","Boxing Short & Vest","Black","S","0"
"151","47","BSV-2101","Boxing Short & Vest","Black","M","0"
"152","47","BSV-2101","Boxing Short & Vest","Black","L","0"
"153","47","BSV-2101","Boxing Short & Vest","Black","XL","0"
"154","47","BSV-2101","Boxing Short & Vest","Blue","XXS","0"
"155","47","BSV-2101","Boxing Short & Vest","Blue","XS","0"
"156","47","BSV-2101","Boxing Short & Vest","Blue","S","0"
"157","47","BSV-2101","Boxing Short & Vest","Blue","M","0"
"158","47","BSV-2101","Boxing Short & Vest","Blue","L","0"
"159","47","BSV-2101","Boxing Short & Vest","Blue","XL","0"
"160","47","BSV-2101","Boxing Short & Vest","Grey","XXS","0"
"161","47","BSV-2101","Boxing Short & Vest","Grey","XS","0"
"162","47","BSV-2101","Boxing Short & Vest","Grey","S","0"
"163","47","BSV-2101","Boxing Short & Vest","Grey","M","0"
"164","47","BSV-2101","Boxing Short & Vest","Grey","L","0"
"165","47","BSV-2101","Boxing Short & Vest","Grey","XL","0"
"166","47","BSV-2101","Boxing Short & Vest","MAROON","XXS","0"
"167","47","BSV-2101","Boxing Short & Vest","MAROON","XS","0"
"168","47","BSV-2101","Boxing Short & Vest","MAROON","S","0"
"169","47","BSV-2101","Boxing Short & Vest","MAROON","M","0"
"170","47","BSV-2101","Boxing Short & Vest","MAROON","L","0"
"171","47","BSV-2101","Boxing Short & Vest","MAROON","XL","0"
"172","47","BSV-2101","Boxing Short & Vest","Navy","XXS","0"
"173","47","BSV-2101","Boxing Short & Vest","Navy","XS","0"
"174","47","BSV-2101","Boxing Short & Vest","Navy","S","0"
"175","47","BSV-2101","Boxing Short & Vest","Navy","M","0"
"176","47","BSV-2101","Boxing Short & Vest","Navy","L","0"
"177","47","BSV-2101","Boxing Short & Vest","Navy","XL","0"
"178","47","BSV-2101","Boxing Short & Vest","RED","XXS","0"
"179","47","BSV-2101","Boxing Short & Vest","RED","XS","0"
"180","47","BSV-2101","Boxing Short & Vest","RED","S","0"
"181","47","BSV-2101","Boxing Short & Vest","RED","M","0"
"182","47","BSV-2101","Boxing Short & Vest","RED","L","0"
"183","47","BSV-2101","Boxing Short & Vest","RED","XL","0"
"184","47","BSV-2101","Boxing Short & Vest","Yellow","XXS","0"
"185","47","BSV-2101","Boxing Short & Vest","Yellow","XS","0"
"186","47","BSV-2101","Boxing Short & Vest","Yellow","S","0"
"187","47","BSV-2101","Boxing Short & Vest","Yellow","M","0"
"188","47","BSV-2101","Boxing Short & Vest","Yellow","L","0"
"189","47","BSV-2101","Boxing Short & Vest","Yellow","XL","0"
"190","48","MMA-2111","MMA Kit","Assorted","XXS","0"
"191","48","MMA-2111","MMA Kit","Assorted","XS","0"
"192","48","MMA-2111","MMA Kit","Assorted","S","0"
"193","48","MMA-2111","MMA Kit","Assorted","M","0"
"194","48","MMA-2111","MMA Kit","Assorted","L","0"
"195","48","MMA-2111","MMA Kit","Assorted","XL","0"
"196","48","MMA-2111","MMA Kit","Assorted","XXL","0"
"197","49","MTS-2121","Muay Thai Shorts Mesh","Assorted","XXS","0"
"198","49","MTS-2121","Muay Thai Shorts Mesh","Assorted","XS","0"
"199","49","MTS-2121","Muay Thai Shorts Mesh","Assorted","S","0"
"200","49","MTS-2121","Muay Thai Shorts Mesh","Assorted","M","0"
"201","49","MTS-2121","Muay Thai Shorts Mesh","Assorted","L","0"
"202","49","MTS-2121","Muay Thai Shorts Mesh","Assorted","XL","0"
"203","49","MTS-2121","Muay Thai Shorts Mesh","Assorted","XXL","0"
"204","50","MTS-2122","Muay Thai Shorts","Assorted","XXS","0"
"205","50","MTS-2122","Muay Thai Shorts","Assorted","XS","0"
"206","50","MTS-2122","Muay Thai Shorts","Assorted","S","0"
"207","50","MTS-2122","Muay Thai Shorts","Assorted","M","0"
"208","50","MTS-2122","Muay Thai Shorts","Assorted","L","0"
"209","50","MTS-2122","Muay Thai Shorts","Assorted","XL","0"
"210","50","MTS-2122","Muay Thai Shorts","Assorted","XXL","0"
"211","51","SB-2221","Sports Bag","RED","standard","0"
"212","51","SB-2221","Sports Bag","Blue","standard","0"
"213","52","SB-2222","Sports Bags","Black","standard","0"
"214","52","SB-2222","Sports Bags","RED","standard","0"
"215","52","SB-2222","Sports Bags","Blue","standard","0"
"222","54","HCP-460","Hoodie Track Suit   460gsm","Assorted","XS","0"
"223","54","HCP-460","Hoodie Track Suit   460gsm","Assorted","S","0"
"224","54","HCP-460","Hoodie Track Suit   460gsm","Assorted","M","0"
"225","54","HCP-460","Hoodie Track Suit   460gsm","Assorted","L","0"
"226","54","HCP-460","Hoodie Track Suit   460gsm","Assorted","XL","0"
"227","54","HCP-460","Hoodie Track Suit   460gsm","Assorted","XXL","0"
"228","55","HCP-360","Hoodie Track Suit  360gsm","Assorted","XS","0"
